"","ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","results5"
"1","-1","1","-1","-1","1","-1","1",0.818915725530353
"2","1","-1","-1","1","-1","-1","1",0.592997537217241
"3","1","1","1","1","1","1","1",0.739945917422692
"4","1","1","-1","1","1","1","-1",0.726336233510768
"5","-1","1","-1","1","1","-1","-1",0.539415345505679
"6","1","-1","1","-1","1","-1","-1",0.5
"7","1","-1","1","1","-1","-1","-1",0.587530681601028
"8","1","-1","1","-1","1","1","1",0.779348857697218
"9","-1","1","1","-1","1","-1","-1",0.536887028353576
"10","-1","1","-1","-1","-1","-1","-1",0.587977053237298
"11","-1","1","1","-1","-1","-1","1",0.814310106117995
"12","-1","-1","-1","-1","-1","-1","1",0.77586045200958
"13","-1","1","1","-1","-1","1","-1",0.5
"14","-1","-1","1","-1","-1","-1","-1",0.579620439136412
"15","1","1","1","1","1","-1","-1",0.540406445829304
"16","1","1","1","-1","1","-1","1",0.820218099389608
"17","-1","-1","1","1","-1","-1","1",0.598000882424927
"18","1","1","1","-1","-1","-1","-1",0.587530681601028
"19","-1","-1","-1","1","-1","1","1",0.5
"20","-1","1","1","1","1","-1","1",0.575331500072848
"21","-1","-1","1","1","1","-1","-1",0.5
"22","1","-1","1","1","-1","1","1",0.5
"23","-1","-1","1","1","-1","1","-1",0.5
"24","-1","1","1","1","-1","-1","-1",0.588359657496959
"25","1","1","-1","-1","1","-1","-1",0.538606284017006
"26","-1","1","1","-1","1","1","1",0.691672628090912
"27","1","1","1","1","-1","1","-1",0.5
"28","-1","-1","-1","-1","-1","1","-1",0.5
"29","1","1","-1","-1","-1","1","-1",0.5
"30","1","1","1","1","-1","-1","1",0.592936857605591
"31","-1","-1","-1","1","1","1","-1",0.697625341072918
"32","1","1","-1","-1","-1","-1","1",0.813601274460154
"33","-1","-1","-1","-1","1","-1","-1",0.5
"34","-1","-1","-1","1","1","-1","1",0.522694174757282
"35","1","1","1","-1","-1","1","1",0.655546221751981
"36","1","1","1","-1","1","1","-1",0.714703026143799
"37","-1","1","-1","1","1","1","1",0.739664445849115
"38","-1","-1","1","-1","-1","1","1",0.617277156750943
"39","1","-1","-1","-1","-1","-1","-1",0.587530681601028
"40","1","-1","-1","1","-1","1","-1",0.5
"41","1","-1","-1","-1","1","1","-1",0.659171433226477
"42","-1","1","-1","-1","-1","1","1",0.656300467028964
"43","-1","1","-1","1","-1","1","-1",0.5
"44","-1","1","1","1","-1","1","1",0.505400000474644
"45","-1","-1","1","1","1","1","1",0.736643579884014
"46","-1","1","-1","-1","1","1","-1",0.71582984882798
"47","1","1","-1","1","-1","1","1",0.502979927928419
"48","-1","-1","1","-1","1","1","-1",0.662924617983886
"49","-1","-1","-1","1","-1","-1","-1",0.587466914224417
"50","1","-1","-1","-1","1","-1","1",0.770473798315138
"51","1","-1","1","-1","-1","-1","1",0.782700075819204
"52","1","1","-1","1","-1","-1","-1",0.587893059323471
"53","-1","-1","1","-1","1","-1","1",0.770424394075784
"54","1","-1","-1","1","1","-1","-1",0.5
"55","1","-1","-1","1","1","1","1",0.735986755268238
"56","1","-1","-1","-1","-1","1","1",0.620233770377185
"57","1","1","-1","-1","1","1","1",0.696062689522215
"58","-1","1","-1","1","-1","-1","1",0.595989816205499
"59","-1","-1","-1","-1","1","1","1",0.777383795822226
"60","1","1","-1","1","1","-1","1",0.574990736705121
"61","1","-1","1","1","1","1","-1",0.693795725749102
"62","-1","1","1","1","1","1","-1",0.728732540327191
"63","1","-1","1","1","1","-1","1",0.519336569579288
"64","1","-1","1","-1","-1","1","-1",0.5
