"","nodesize","classwt","cutoff","Blocks","results.fac3"
"1","-1","1","-1",".1",0.809302502013109
"2","1","-1","-1",".1",0.592742467710801
"3","1","1","1",".1",0.739951780822653
"4","1","1","-1",".1",0.554767287253252
"5","1","-1","1",".1",0.5
"6","-1","1","1",".1",0.733259541683847
"7","-1","-1","1",".1",0.643699852839753
"8","-1","-1","-1",".1",0.812585851216058
"9","-1","1","1",".2",0.730102050502937
"10","-1","1","-1",".2",0.810100600259444
"11","-1","-1","-1",".2",0.810993054618306
"12","-1","-1","1",".2",0.644186677550458
"13","1","1","-1",".2",0.555553034439749
"14","1","-1","1",".2",0.499979773462783
"15","1","-1","-1",".2",0.592658473796974
"16","1","1","1",".2",0.739775917517621
